연도,순위,제목,개봉일,관객수,관람등급,줄거리,링크
2012,11,건축학개론,12.03.22,"4,114,167",12세이상관람가,"어쩌면…사랑할 수 있을까?건축학개론 수업에서 그녀를 처음 만났다생기 넘치지만 숫기 없던 스무 살, 건축학과 승민은 '건축학개론' 수업에서 처음 만난 음대생 서연에게 반한다. 함께 숙제를 하게 되면서 차츰 마음을 열고 친해지지만, 자신의 마음을 표현하는 데 서툰 순진한 승민은 입 밖에 낼 수 없었던 고백을 마음 속에 품은 채 작은 오해로 인해 서연과 멀어지게 된다. 어쩌면 다시…사랑할 수 있을까? 15년 만에 그녀를 다시 만났다서른 다섯의 건축사가 된 승민 앞에 15년 만에 불쑥 나타난 서연. 당황스러움을 감추지 못하는 승민에게 서연은 자신을 위한 집을 설계해달라고 한다. 자신의 이름을 건 첫 작품으로 서연의 집을 짓게 된 승민, 함께 집을 완성해 가는 동안 어쩌면 사랑이었을지 모를 그때의 기억이 되살아나 두 사람 사이에 새로운 감정이 쌓이기 시작하는데…",https://movie.daum.net/moviedb/main?movieId=67165
2012,12,댄싱퀸,12.01.18,"4,058,225",12세이상관람가,"서울시장후보의 아내가 댄싱퀸?!“혹시 가수 해 볼 생각 없어요?” 왕년의 신촌 마돈나 정화 앞에 댄스 가수가 될 일생 일대의 기회가 찾아온다. 하지만 오랜 꿈을 향한 도전의 설렘도 잠시, ‘서울시장후보로 출마하게 되었다!’는 남편 정민의 폭탄 선언! 서울시장후보의 부인과 화려한 댄싱퀸즈의 리더 사이에서남편도 모르는 위험천만, 다이나믹한 이중생활이 시작된다?!",https://movie.daum.net/moviedb/main?movieId=63549
2012,13,부러진 화살,12.01.18,"3,460,212",15세이상관람가,"이 남자의 분노에 주목하라!대학 입시시험에 출제된 수학문제 오류를 지적한 뒤 부당하게 해고된 김경호 교수. 교수지위 확인소송에 패소하고 항소심마저 정당한 사유 없이 기각되자, 담당판사를 찾아가 공정한 재판을 요구하며 석궁으로 위협하기에 이른다. 격렬한 몸싸움, 담당판사의 피 묻은 셔츠, 복부 2cm의 자상, 부러진 화살을 수거했다는 증언… 곧이어 사건의 파장은 일파만파 퍼져나가고, 사법부는 김경호의 행위를 법치주의에 대한 도전이자 ‘테러’로 규정, 피의자를 엄중 처벌하겠다는 입장을 발표한다.  그러나 피의자 김경호가 실제로 화살을 쏜 일이 없다며 결백을 주장하면서, 속전속결로 진행될 것 같았던 재판은 난항을 거듭한다. 한 치의 양보도 없는 법정, 엇갈리는 진술! 결정적인 증거 ‘부러진 화살’은 행방이 묘연한데…  비타협 원칙을 고수하며 재판장에게도 독설을 서슴지 않는 김경호의 불같은 성격에 변호사들은 하나둘씩 변론을 포기하지만, 마지막으로 선임된 자칭 ‘양아치 변호사’ 박준의 등장으로 재판은 활기를 띠기 시작하는데….   상식 없는 세상에 원칙으로 맞서는 한 남자의 이야기가 시작된다!",https://movie.daum.net/moviedb/main?movieId=66814
2012,14,맨 인 블랙 3,12.05.24,"3,379,764",12세이상관람가,"MIB 사상 최고의 미션시간을 거슬러 미래를 구하라!알 수 없는 사건으로 현실이 뒤바뀌고 외계인의 공격으로 위험에 빠진 지구. 게다가 MIB 소속 베테랑 요원 ‘케이(토미 리 존스)’는 하룻밤 사이에 감쪽같이 사라진다. 모든 것을 원래대로 되돌릴 수 있는 사건의 열쇠를 쥐고 있는 유일한 사람은 ‘케이’뿐인데…사라진 파트너를 찾고 그동안 감춰졌던 우주의 비밀을 캐내기 위해 ‘제이(윌 스미스)’요원은 과거로 위험한 시간여행을 떠나게 되고, 그 곳에서 심하게 젊은(?) ‘케이(조쉬 브롤린)’와 마주하게 된다. 이제 이 둘은 24시간 안에 우주의 비밀을 풀고 현재로 돌아와야만 하는MIB 사상 최고의 미션에 도전하게 되는데! MIB(Men In Black)이란? 지구에 인간만 사는 줄 알았지?! 불법 거주하는 외계인을 감시하고이민 오는 외계인 관리 감독하며지구의 평화를 지켜온 미연방 일급 비밀기관",https://movie.daum.net/moviedb/main?movieId=51829
2012,15,레미제라블,12.12.19,"5,938,797",12세이상관람가,"올 겨울, 당신의 영혼을 울리는 감동 대작사랑과 용서, 구원과 희망을 향한 노래가 시작된다!빵 한 조각을 훔친 죄로 19년의 감옥살이를 한 장발장(휴 잭맨). 우연히 만난 신부의 손길 아래 구원을 받고 새로운 삶을 결심한다. 정체를 숨기고 마들렌이라는 새 이름으로 가난한 이들을 도우던 장발장은 운명의 여인, 판틴(앤 해서웨이)과 마주치고, 죽음을 눈앞에 둔 판틴은 자신의 유일한 희망인 딸 코제트(아만다 사이프리드)를 장발장에게 부탁한다. 그러나 코제트를 만나기도 전에 경감 자베르(러셀 크로우)는 장발장의 진짜 정체를 알아차리고, 오래된 누명으로 다시 체포된 장발장은 코제트를 찾아 탈옥을 감행하는데…",https://movie.daum.net/moviedb/main?movieId=67256
2012,16,26년,12.11.29,"2,963,652",15세이상관람가,"1980년 5월.. 그리고 26년 후학살의 주범 ‘그 사람’을 단죄하라!광주 수호파 중간보스 곽진배, 국가대표 사격선수 심미진, 서대문소속 경찰 권정혁, 5. 18 민주화운동 희생자 2세라는 공통 분모를 가진 세 사람이 한 자리에 모였다. 그들을 불러 모은 보안업체 대기업 회장 김갑세와 그의 비서 김주안의 제안은 바로 ‘그 사람’을 타겟으로 한 극비 프로젝트!Stage 1. 1차 탐색 시작! 진배는 무력도발로 연희동을 자극시킨다. 그러나 김갑세가 광주 시민들을 제압하던 계엄군이었고 그의 총검에 아버지가 죽었다는 사실을 알게 되면서 팀은 균열이 생긴다. Stage 2. 미진의 단독 행동! 미진은 홀로 서대문 사거리에서 ‘그 사람’의 차량에 뛰어들어 사격을 가한다. 마지막 한발, 성공의 순간 터져버린 총 때문에 부상당한 미진은 뒤늦게 달려온 진배의 도움으로 탈출하지만, 정혁은 충격을 받고 사라진다.Stage 3. 시작된 작전! 일련의 사건으로 연희동의 사설 경호인력이 보강되고, 주안은 ‘그 사람’의 비서실장인 탁실장을 대상으로 한 로비에 성공, ‘그 사람’과의 단독 면담 날짜를 잡는다. D-day 2006. 05. 18.드디어 그날! 저격 위치를 확보한 미진, 경찰 병력을 저지할 진배 일행, 그리고 김갑세와 주안은 탁실장을 이용하여 검문을 통과하고 드디어 연희동 저택 안으로 들어간다. 한편, 서대문경찰서 최계장의 집요한 추적으로 암살 작전의 실체가 밝혀지고 경호실장인 마상렬의 명령으로 연희동 안팎은 빠르게 진압된다. 미진에게까지 포위망은 좁혀지고 사라졌던 정혁이 나타나 작전을 저지하는데...일촉즉발의 상황, 그들의 거사는 과연 성공할 수 있을까?",https://movie.daum.net/moviedb/main?movieId=43688
2012,17,내가 살인범이다,12.11.08,"2,729,830",청소년관람불가,"스타가 된 연쇄살인범 VS 법으로는 잡지 못하는 형사15년 전, 세상을 떠들썩하게 만들었던 연곡 연쇄살인사건. 하지만 이 사건은 끝내 범인을 잡지 못한 채 공소시효가 끝난다. 사건 담당 형사 최형구는 범인을 잡지 못한 죄책감과 자신의 얼굴에 끔찍한 상처를 남기고 사라진 범인에 대한 분노로 15년 간 하루도 편히 잠들지 못한다. 그리고 2년 후, 자신을 연쇄살인사건의 범인이라고 밝힌 이두석이 ‘내가 살인범이다’라는 자서전을 출간하고,  이 책은 단숨에 베스트셀러가 된다. 미남형 외모와 수려한 말솜씨로 스타가 된 이두석.  최형구는 알려지지 않은 마지막 미해결 실종사건을 파헤쳐 세상이 용서한 이두석을 어떻게든 잡아넣으려 하는데…법이 용서한 연쇄살인범 공소시효는 끝났지만, 사건은 아직 끝나지 않았다!",https://movie.daum.net/moviedb/main?movieId=65580
2012,18,브레이킹 던 part2,12.11.15,"2,654,817",15세이상관람가,"금기를 넘어선 불멸의 사랑! 그리고 누구도 예측할 수 없었던 신비한 혼혈소녀 ‘르네즈미’의 탄생!르네즈미를 잉태하면서 죽음의 순간까지 닿았던 벨라는그녀를 살리기 위한 에드워드의 노력으로 마침내 뱀파이어로 다시 태어나고, 제이콥이 자신의 딸 르네즈미에게 ‘각인’되었다는 사실을 알고 충격에 빠진다. 한편 르네즈미를 뱀파이어에게 위험한 ‘불멸의 아이’라고 판단한 볼투리가는그녀를 제거하기 위해 군대를 모으기 시작한다. 신이 허락하지 않은 인간과 뱀파이어의 사랑이 불러 온 위험천만한 전운이 컬렌가를 감돌고벨라와 르네즈미를 지키기 위해 전세계에 흩어져 있는 뱀파이어들을 모은 에드워드는볼투리의 군대와 최후의 전쟁을 시작하는데... 전세계가 열광하는 매혹적인 판타지대서사의 화려한 피날레가 마침내 시작된다!",https://movie.daum.net/moviedb/main?movieId=62934
2012,19,후궁 : 제왕의 첩,12.06.06,"2,636,385",청소년관람불가,"미치지 않고는 살 수 없는 궁그 속에 담긴 애욕의 정사(情事), 광기의 정사(政事)살기 위해 변해야 했던 여인 ‘화연’ 권력과 사랑으로 벌거벗은 왕 ‘성원대군’ 모든 걸 빼앗긴 남자 ‘권유’ 죽기 전엔 나갈 수 없는 지독한 궁에서 일어난 미친 욕망",https://movie.daum.net/moviedb/main?movieId=67493
2012,20,호빗: 뜻밖의 여정,12.12.13,"2,830,614",12세이상관람가,"모험을 떠나자! 새로운 세상을 만나자!호빗족 ‘빌보 배긴스’는 어느 날 갑자기 찾아온 회색의 마법사 ‘간달프’로부터 뜻밖의 제안을 받는다. 오래 전 난쟁이족의 영토였지만 무시무시한 용 ‘스마우그’에게 빼앗겨 지금은 황무지로 변한 동쪽의 ‘외로운 산’ 에레보르 왕국을 되찾기 위해 함께 떠나자는 것. 어쩔 수 없이 전설의 용사 ‘소린’이 이끄는 13명의 난쟁이족과 함께 고블린과 오르크, 흉악한 괴수 와르그, 마법사들과 마주쳐야 하는 위험 가득한 여정에 오른다. 외로운 산에 가기 위해서 반드시 거쳐야 하는 고블린 동굴에서 일행과 떨어져 헤매던 빌보는 그의 일생을 뒤바꿔놓는 존재인 ‘골룸’과 마주치게 되고, 골룸과의 수수께끼 대결 중에 대단한 힘을 지닌 골룸의 보물 ‘절대반지’를 얻게 된다. 험난한 여행의 길에서 빌보는 그 동안 자신도 몰랐던 용기와 능력을 발견하지만, 바로 그 절대반지로 인해 아직 짐작도 못할 중간계의 거대한 운명에 휘말리게 되는데…",https://movie.daum.net/moviedb/main?movieId=44853
2012,21,미션임파서블:고스트프로토콜,11.12.15,"7,508,976",15세이상관람가,"지상 최대의 스케일, 사상 초유의 액션불가능한 미션이 다시 시작된다!러시아 크렘린 궁 폭발 테러 사건에 연루되어 위기를 맞게 된 IMF(Impossible Mission Force). 국가적 분쟁을 피하기 위해 정부는 IMF 조직에 대해 ‘고스트 프로토콜’을 발동하고, 조직의 과거도 정체도 모두 지워버린다. 순식간에 국제 테러리스트가 되어 버린 특수비밀요원 ‘이단 헌트’(톰 크루즈)는 자신과 조직의 명예를 되찾기 위해 지상 최대의 불가능한 미션을 다시 시작한다!",https://movie.daum.net/moviedb/main?movieId=51956
2012,22,화차,12.03.08,"2,436,884",15세이상관람가,"그녀가 사라졌다!결혼 한 달 전, 부모님 댁에 내려가던 중 휴게소에 들른 문호와 선영. 커피를 사러 간 사이 선영은 한 통의 전화를 받고 급하게 나가고, 돌아온 문호를 기다리고 있는 건 문이 열린 채 공회전 중인 차 뿐이다. 몇 번을 걸어봐도 꺼져있는 휴대폰, 내리는 빗속으로 약혼녀가 사라졌다. 그녀의 모든 것은 가짜다! 미친 듯 선영을 찾는 문호. 돌아온 그녀의 집은 급하게 치운 흔적이 역력하고 다니던 회사의 이력서까지 허위다. 단서가 사라질 즈음, 선영이 개인파산을 했었고 정작 면책 서류에 남은 그녀의 필적과 사진은 다른 사람의 것이라는 충격적인 사실이 밝혀진다. 가족도 없고… 친구도 없고… 지문도 없다! 내가 사랑했던 그녀는 누구인가?그녀를 찾으려면 진짜 이름부터 알아내야 하는 문호는 전직 강력계 형사인 사촌 형 종근에게 도움을 청한다. 통장 잔액을 인출하고, 지문까지 지우고 완벽하게 사라진 그녀의 행적에 범상치 않은 사건임을 직감하는 종근. 결국 그는 선영의 실종이 살인사건과 연관되어 있음을 본능적으로 느끼는데... 추적하면 할수록 드러나는 충격적 진실과연, 그녀의 정체는 무엇인가.",https://movie.daum.net/moviedb/main?movieId=64326
2012,23,이웃사람,12.08.22,"2,434,435",청소년관람불가,"죽은 소녀도, 살인마도, 그를 막는 사람들도 모두 <이웃사람>202호 소녀의 죽음, 그리고 열흘 간격으로 발생하는 연쇄살인사건범인의 실마리는 잡히지 않고, 강산맨션의 이웃사람들은 공포에 떤다. 그러던 중 이웃사람들은 수십 만원대의 수도세, 사건발생일마다 배달시키는 피자, 사체가 담긴 가방과 똑 같은 가방을 사 간 102호 남자를 의심하기 시작한다.그리고 살인마 또한 이웃사람들을 눈치채기 시작하고, 두 번째 소녀의 죽음을 막기 위한마지막 대결이 시작되는데…",https://movie.daum.net/moviedb/main?movieId=48432
2012,24,007 스카이폴,12.10.26,"2,376,266",15세이상관람가,"M의 과거에 얽힌 비밀, 거대한 적의 공격으로 위기에 빠진 MI6제임스 본드, 사상 최강의 적과 맞서라!상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다.설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 ‘실바’에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이때, 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아온다. 절체절명의 위기에 놓인 MI6와 M을 구하기 위해 제임스 본드는 비밀스러운 여인 세버린을 통해 ‘실바’를 찾아간다. 그리고 마침내 사상 최강의 적 ‘실바’와 피할 수 없는 대결을 시작하게 되는데... 2012년 10월, 사상 최대의 임무가 시작된다!",https://movie.daum.net/moviedb/main?movieId=44496
2012,26,배틀쉽,12.04.11,"2,241,687",12세이상관람가,"지구를 지키기 위한 전쟁이 바다에서 시작된다!전 세계 해군들이 한데 모여 훈련하는 림팩 다국적 해상 훈련. 해상 합동 훈련 첫날, 태평양 한 가운데에서 정체불명의 물체가 발견되고 셰인 함장(리암 니슨)은 수색팀을 파견한다. 괴물체에 접근한 하퍼 대위(테일러 키취)가 몸체에 손을 가져다 댄 순간, 엄청난 충격과 함께 괴물체는 자신들을 보호하기 위한 거대한 장벽을 구축한다. 레이더도 통하지 않고, 부딪히는 순간 모든 걸 파괴시키는 엄청난 위력의 장벽을 시작으로 지구를 향한 대규모 침략을 감행하는 외계의 존재들! 목적 조차 알 수 없는 그들의 엄청난 공격에 평화롭던 지구는 순식간에 초토화 되기 시작하고, 이들로부터 지구를 구하기 위해 육해공을 넘나드는 전 세계 연합군의 합동 작전이 펼쳐지는데… 정체를 알 수 없는 외계 존재와 전 세꼐 다국적 연합군함의 전면전이드넓은 바다 한 가운데에서 시작된다!",https://movie.daum.net/moviedb/main?movieId=53610
